1091;頭前運動公園;50;31;新莊區;25.052180;121.462124;頭成街165號對面人行道;Xinzhuang Dist.;Touqian Sports Park;No.165, Toucheng St. (opposite);
1092;頭前國中;42;5;新莊區;25.054464;121.459318;中原路3至9號對面人行道;Xinzhuang Dist.;Touqian Junior High School;No.3 to No.9 , Zhongyuan Rd. (opposite);
1093;建國民權路口;46;16;新店區;24.983184;121.537462;建國路259號前人行道;新店區;Jianguo Minquan Intersection;No.259, Jianguo Rd.;
1094;聯邦公園;48;0;三重區;25.064447;121.483710;三民街/中華路;Sanchong Dist.;Lian Bang Park;Sanmin St./Zhonghua Rd.;
1095;捷運蘆洲站;52;15;蘆洲區;25.091637;121.464031;三民路/中正路口;Luzhou Dist.;MRT Luzhou Sta.;Sanmin Rd./Zhongzheng Rd.;
1096;集成成功路口;32;0;三重區;25.051542;121.488208;集成路2號至8號前人行道;Sanchong Dist.;Ji Cheng Cheng Gong Intersection;No.2 to No.8, Jicheng Rd.;
1097;板橋國民運動中心;44;6;板橋區;25.022235;121.458152;英士路/智樂路;Banqiao Dist.;Banqiao Civil Sports Center;Yingshi Rd./Jhihle Rd.;
1098;永安公園;38;6;板橋區;25.024786;121.477397;雙十路一段25號前人行道;Banqiao Dist.;Yongan Park;No.25, Sec. 1, Shuangshi Rd.;
1099;捷運江子翠站(3號出口);44;20;板橋區;25.029729;121.472359;文化路二段/雙十路二段;Banqiao Dist.;MRT Jiangzicui Sta.(Exit 3);Sec. 2, Wenhua Rd./Sec. 2, Shuangshi Rd.;
1100;音樂公園;48;11;板橋區;25.028631;121.480460;大同街97號對面公園人行道;Banqiao Dist.;Yinyue Park;No.97, Datong St.;
1101;捷運七張站(1號出口);42;3;新店區;24.974996;121.542767;北新路二段/北新路二段121巷;Xindian Dist.;MRT Qizhang Sta. (Exit 1);Sec. 2, Beixin Rd./Ln. 121, Sec. 2, Beixin Rd.;
1102;北新國小;44;24;新店區;24.974233;121.544428;寶橋路8號前人行道;Xindian Dist.;BeiXin Elementary School;No.8, Baoqiao Rd.;
1103;捷運新埔站(2號出口);40;18;板橋區;25.022095;121.467598;文化路一段318號旁廣場;Banqiao Dist.;MRT Xinpu Sta.(Exit.2);No.318, Sec. 1, Wenhua Rd.;
1104;聯合醫院板橋院區;34;1;板橋區;25.023832;121.457773;龍泉街131號旁人行道(立體停車場前);Banqiao Dist.;New Taipei City Hospital Banqiao Branch;No.131, Longquan St.;
1105;捷運板橋站(3號出口);68;40;板橋區;25.014797;121.462051;文化路一段117號對面人行道;Banqiao Dist.;MRT Banqiao Sta.(Exit.3);No.117, Sec. 1, Wenhua Rd. (opposite);
1106;民生公園;42;5;板橋區;25.013087;121.475894;民生路一段/民生路一段30巷;Banqiao Dist.;Minsheng Park;Sec. 1, Minsheng Rd./Ln. 30, Sec. 1, Minsheng Rd.;
1107;新北市政府;40;14;板橋區;25.012374;121.464224;新府路1號對面人行道;Banqiao Dist.;New Taipei City Hall;No.1, Xinfu Rd. (opposite);
1108;捷運板橋站(1號出口);90;53;板橋區;25.013174;121.461900;縣民大道二段3號(秀泰影城門口);Banqiao Dist.;MRT Banqiao Sta.(Exit.1);No.3, Sec. 2, Xianmin Blvd.;
1109;板橋地政事務所;52;30;板橋區;25.007983;121.463387;實踐路5號對面;Banqiao Dist.;Banqiao Land Office;No.5, Shijian Rd. (opposite);
